DateMonth,AgeDays,clientRegion
2018/01,9,Other
2018/03,1,APAC
2018/03,0,Other
2018/03,0,Other
2018/04,0,Other
2018/05,2,Other
2018/05,0,Other
2018/06,0,Other
2018/06,2,Other
2018/07,0,Other
2018/07,0,Other
2018/07,0,Other
2018/08,0,Other
2018/08,0,Other
2018/08,0,Other
2018/08,0,Other
2018/08,0,Other
2018/08,0,Other
2018/08,2,AMER
2018/01,1,Other
2018/01,0,AMER
2018/02,0,Other
2018/03,0,Other
2018/03,1,Other
2018/03,0,Other
2018/04,0,Other
2018/05,0,Other
2018/05,0,Other
2018/05,1,Other
2018/06,0,Other
2018/06,0,Other
2018/07,0,Other
2018/07,0,Other
2018/07,0,Other
2018/07,0,Other
2018/08,2,APAC
2018/08,0,Other
2018/08,0,Other
2018/01,0,Other
2018/01,12,AMER
2018/01,3,Other
2018/02,1,Other
2018/02,0,Other
2018/03,1,Other
2018/04,0,AMER
2018/04,7,Other
2018/05,0,Other
2018/05,0,EMEA
2018/05,0,Other
2018/06,0,EMEA
2018/06,0,Other
2018/07,1,Other
2018/07,0,Other
2018/07,14,AMER
2018/07,0,Other
2018/07,7,AMER
2018/07,0,Other
2018/08,0,AMER
2018/08,2,Other
2018/08,0,Other
2018/08,0,Other
2018/01,13,AMER
2018/02,0,Other
2018/03,2,Other
2018/04,0,Other
2018/05,0,Other
2018/05,2,Other
2018/07,0,Other
2018/07,1,Other
2018/08,0,APAC
2018/08,0,Other
2018/08,0,Other
2018/08,0,Other
2018/08,0,Other
2018/01,2,Other
2018/01,37,EMEA
2018/02,0,EMEA
2018/02,3,APAC
2018/03,204,AMER
2018/04,1,Other
2018/04,0,Other
2018/04,0,AMER
2018/05,0,Other
2018/05,0,Other
2018/06,0,EMEA
2018/07,0,Other
2018/07,0,Other
2018/07,0,Other
2018/07,1,Other
2018/07,0,Other
2018/08,0,Other
2018/08,2,Other
2018/08,0,Other
2018/08,1,Other
2018/08,0,Other
2018/01,0,EMEA
2018/01,0,AMER
2018/02,16,APAC
2018/02,6,APAC
2018/02,0,Other
2018/03,0,APAC
2018/03,0,Other
2018/04,1,APAC
2018/04,81,APAC
2018/05,8,Other
2018/05,2,AMER
2018/05,0,EMEA
2018/05,0,EMEA
2018/06,0,Other
2018/06,0,Other
2018/07,0,Other
2018/07,1,Other
2018/07,0,Other
2018/08,0,APAC
2018/08,2,Other
2018/01,1,Other
2018/03,0,Other
2018/03,0,Other
2018/03,0,Other
2018/04,0,Other
2018/04,0,AMER
2018/04,0,Other
2018/04,25,EMEA
2018/04,0,Other
2018/05,0,Other
2018/05,1,Other
2018/05,0,Other
2018/05,0,EMEA
2018/06,0,Other
2018/06,0,Other
2018/07,0,Other
2018/07,0,APAC
2018/07,0,EMEA
2018/08,0,Other
2018/08,0,Other
2018/08,0,Other
2018/08,0,Other
2018/01,0,AMER
2018/02,0,AMER
2018/03,0,Other
2018/04,5,EMEA
2018/04,0,Other
2018/04,0,APAC
2018/05,0,AMER
2018/05,1,Other
2018/05,0,AMER
2018/05,0,Other
2018/06,43,EMEA
2018/07,0,Other
2018/07,0,Other
2018/07,1,Other
2018/08,13,Other
2018/08,1,Other
2018/08,0,AMER
2018/08,0,Other
2018/02,35,APAC
2018/02,0,EMEA
2018/03,0,Other
2018/03,0,Other
2018/03,0,Other
2018/04,0,APAC
