Category,Percentage,Region
0-43,95.87160053499777,APAC
44-87,2.808738296923763,APAC
88-131,0.606330806954971,APAC
132-175,0.32991529201961656,APAC
176-219,0.17833259028087384,APAC
220-263,0.2050824788230049,APAC
0-48,95.10102629890956,AMER
49-97,2.926555484284798,AMER
98-146,0.7617062219371392,AMER
147-195,0.6093649775497113,AMER
196-244,0.30468248877485565,AMER
245-293,0.29666452854393843,AMER
0-47,95.57421142717418,AMRS
48-96,3.1787431738527996,AMRS
97-144,0.8721167169288451,AMRS
145-193,0.26897057624908305,AMRS
194-241,0.0652049881815959,AMRS
242-290,0.04075311761349743,AMRS
0-48,98.38107098381072,ASIA
49-97,0.8717310087173101,ASIA
98-146,0.0,ASIA
147-195,0.0,ASIA
196-244,0.0,ASIA
245-293,0.7471980074719801,ASIA
0-47,97.82608695652173,Australia
48-95,0.0,Australia
96-143,0.0,Australia
144-191,0.0,Australia
192-239,0.0,Australia
240-287,2.1739130434782608,Australia
0-48,94.00840657241116,EMEA
49-97,3.9358043561329765,EMEA
98-146,1.0393580435613297,EMEA
147-195,0.5349636988918609,EMEA
196-244,0.32862055789071454,EMEA
245-294,0.15284677111196027,EMEA
0-26,83.1858407079646,MX
27-54,10.619469026548673,MX
55-81,2.6548672566371683,MX
82-109,0.8849557522123894,MX
110-136,0.8849557522123894,MX
137-164,1.7699115044247788,MX
0-47,97.58094300135419,Other
48-96,1.5449956912470761,Other
97-145,0.5786039640526899,Other
146-194,0.1477286716730272,Other
195-243,0.10464114243506094,Other
244-292,0.04308752923796627,Other
