DateMonth,client,noOfTickets
2018/01,,63
2018/01,1199,7
2018/01,ABN,14
2018/01,AC1,48
2018/01,AEG,58
2018/01,AFLAC,15
2018/01,AGFSA,2
2018/01,AHSS,8
2018/01,AKAAN,12
2018/01,ALIMCO,1
2018/01,ALLEGHANY,6
2018/01,ALLSTATE,27
2018/01,AMBAC,12
2018/01,AMCAP,1
2018/01,AMFAM,17
2018/01,AMP,20
2018/01,APFC,13
2018/01,ARCH,46
2018/01,ARGO,13
2018/01,ARMOUR,3
2018/01,ASPEN,6
2018/01,ASUF,1
2018/01,ATHENE,29
2018/01,AVIVA,110
2018/01,AWAC,1
2018/01,AXIS,12
2018/01,BCBSM,3
2018/01,BEN,2
2018/01,BHF,16
2018/01,BLK,2257
2018/01,BNY,13
2018/01,BNYMAS,33
2018/01,BOEING,31
2018/01,BRAEBURN,2
2018/01,BSP,13
2018/01,CAL,26
2018/01,CALSTRS,27
2018/01,CANO,10
2018/01,CAPGROUP,56
2018/01,CATLIN,37
2018/01,CFS,37
2018/01,CHIMERA,3
2018/01,COAL,10
2018/01,COMPASS,13
2018/01,CSAM,44
2018/01,DAWM,483
2018/01,DIAM,12
2018/01,DISNEY,10
2018/01,DLG,9
2018/01,DPR,6
2018/01,DTCC,12
2018/01,DYNEX,8
2018/01,EASTSPRING,52
2018/01,EATONVANCE,64
2018/01,ENDUR,64
2018/01,ENS,17
2018/01,EdwardJones,5
2018/01,FANNIEMAE,7
2018/01,FITB,32
2018/01,FRBNY,8
2018/01,FRE,29
2018/01,GAFG,44
2018/01,GEAM,41
2018/01,GENWORTH,11
2018/01,GIC,63
2018/01,GMAC,5
2018/01,GOOGLE,13
2018/01,GSMM,1
2018/01,GUGGENHEIM,55
2018/01,HCSC,6
2018/01,HIC,12
2018/01,HIERS,8
2018/01,HIM,110
2018/01,HMANN,1
2018/01,HORIZON,5
2018/01,HSBCUK,4
2018/01,IBM,5
2018/01,IIM,85
2018/01,ILLTRS,8
2018/01,ING,122
2018/01,INVESCO,99
2018/01,ISSSTE,5
2018/01,JAGUAR,13
2018/01,JPM-Pension,5
2018/01,JPM-Team,20
2018/01,JUPITER,30
2018/01,KRK,40
2018/01,LANC,64
2018/01,LCP,25
2018/01,LMGINV,70
2018/01,MEAG,18
2018/01,MERCK,14
2018/01,METAFORE,8
2018/01,METLIFE,71
2018/01,MHTB,2
2018/01,MICHELIN,2
2018/01,MIZUHO,23
2018/01,MIZUHOBANK,8
2018/01,MSIM,131
2018/01,NBG,103
2018/01,NDRIO,16
2018/01,NJM,3
2018/01,NMXERB,1
2018/01,NOKIA,4
2018/01,NOVAE,6
2018/01,NT,7
2018/01,NTGA,9
2018/01,NTGI,40
2018/01,NWM,17
2018/01,NYLIM,53
2018/01,NYSCRF,19
2018/01,OCERS,3
2018/01,ONEAMERICA,3
2018/01,ONEWEST,6
2018/01,ONFA,9
2018/01,OREGON,7
2018/01,PARTNERRE,7
2018/01,PB2,17
2018/01,PBGC,7
2018/01,PD1,55
2018/01,PFA,3
2018/01,PG1,21
2018/01,PIONEER,98
2018/01,PNC,72
2018/01,PPF,49
2018/01,PPMG,80
2018/01,PRINCIPAL,20
2018/01,PRU,86
2018/01,PRUGP,5
2018/01,PSERS,15
2018/01,QIC,24
2018/01,QUALCOMM,8
2018/01,RAYTHEON,22
2018/01,RED,10
2018/01,REGIONS,15
2018/01,RENRE,33
2018/01,REUTERS,1
2018/01,RGA,29
2018/01,RVSI,130
2018/01,SCHRODERS,99
2018/01,SCHWAB,6
2018/01,SEI,98
2018/01,SELECTIVE,7
2018/01,SENTINEL,12
2018/01,SGCP,2
2018/01,SLOAN,1
2018/01,SMAM,7
2018/01,SPC,3
2018/01,STANDISH,11
2018/01,STT-PA,1
2018/01,SUNLIFE,25
2018/01,SUNSUPER,38
2018/01,SURAAM,11
2018/01,SWISSRE,42
2018/01,TDBANK,2
2018/01,TEA,6
2018/01,TFL,1
2018/01,TOKMAR,60
2018/01,TWG,1
2018/01,UAWRMBT,34
2018/01,UBSWM,2
2018/01,UCREGENTS,32
2018/01,UNIONBANK,4
2018/01,UP1,9
2018/01,VALIDUS,9
2018/01,VANGUARD,96
2018/01,VENDOR,1
2018/01,VIMCO,11
2018/01,VRS,4
2018/01,WACHOVIA,38
2018/01,WATFORD,1
2018/01,WBLAIR,2
2018/01,WRBERKLEY,13
2018/02,,63
2018/02,1199,5
2018/02,ABN,8
2018/02,AC1,32
2018/02,AEG,39
2018/02,AFLAC,7
2018/02,AHSS,4
2018/02,AIRBUS,1
2018/02,AKAAN,7
2018/02,ALLEGHANY,5
2018/02,ALLSTATE,32
2018/02,AMBAC,18
2018/02,AMCAP,1
2018/02,AMFAM,24
2018/02,AMP,33
2018/02,APFC,9
2018/02,ARCH,30
2018/02,ARGO,9
2018/02,ARMOUR,2
2018/02,ASPEN,5
2018/02,ATHENE,21
2018/02,AVIVA,126
2018/02,AWAC,7
2018/02,AXIS,7
2018/02,BANAMEX,10
2018/02,BCBSM,4
2018/02,BHF,29
2018/02,BLK,2111
2018/02,BNY,16
2018/02,BNYMAS,36
2018/02,BOCI PRU,1
2018/02,BOEING,38
2018/02,BRAEBURN,4
2018/02,BSP,8
2018/02,CAL,14
2018/02,CALSTRS,48
2018/02,CAM,3
2018/02,CANO,10
2018/02,CAPGROUP,48
2018/02,CATLIN,35
2018/02,CFS,42
2018/02,CHIMERA,5
2018/02,COAL,5
2018/02,COMMONFUND,1
2018/02,COMPASS,24
2018/02,COSMOS,1
2018/02,CSAM,48
2018/02,DAWM,541
2018/02,DIAM,6
2018/02,DISNEY,10
2018/02,DLG,9
2018/02,DTCC,28
2018/02,DYNEX,7
2018/02,EASTSPRING,49
2018/02,EATONVANCE,43
2018/02,ENDUR,53
2018/02,ENS,9
2018/02,EdwardJones,2
2018/02,FANNIEMAE,6
2018/02,FITB,25
2018/02,FRBNY,3
2018/02,FRE,41
2018/02,GAFG,30
2018/02,GEAM,34
2018/02,GENWORTH,10
2018/02,GIC,52
2018/02,GMAC,11
2018/02,GOOGLE,14
2018/02,GREYCASTLE,2
2018/02,GSMM,1
2018/02,GUGGENHEIM,40
2018/02,HCSC,5
2018/02,HIC,8
2018/02,HIERS,6
2018/02,HIM,88
2018/02,HMANN,9
2018/02,HORIZON,16
2018/02,IBM,6
2018/02,IIM,61
2018/02,ILLTRS,12
2018/02,ING,95
2018/02,INVESCO,105
2018/02,ISSSTE,2
2018/02,JAGUAR,5
2018/02,JPM-Pension,7
2018/02,JPM-Team,11
2018/02,JUPITER,20
2018/02,KRK,30
2018/02,LANC,63
2018/02,LCP,14
2018/02,LMGINV,34
2018/02,Latvijas Banka,9
2018/02,MEAG,33
2018/02,MERCK,3
2018/02,METAFORE,29
2018/02,METLIFE,37
2018/02,MHTB,2
2018/02,MICHELIN,4
2018/02,MIZUHO,45
2018/02,MIZUHOBANK,8
2018/02,MS-INS,4
2018/02,MSIM,100
2018/02,NBG,81
2018/02,NDRIO,8
2018/02,NJM,4
2018/02,NLI,3
2018/02,NMXERB,1
2018/02,NOKIA,4
2018/02,NOVAE,2
2018/02,NT,12
2018/02,NTGA,14
2018/02,NTGI,35
2018/02,NWM,18
2018/02,NYLIM,19
2018/02,NYSCRF,16
2018/02,NYSIF,12
2018/02,OCERS,2
2018/02,ONEAMERICA,5
2018/02,ONEWEST,5
2018/02,ONFA,10
2018/02,OREGON,7
2018/02,PARTNERRE,8
2018/02,PB2,27
2018/02,PBGC,6
2018/02,PD1,48
2018/02,PG1,16
2018/02,PIONEER,93
2018/02,PNC,60
2018/02,PPF,73
2018/02,PPMG,93
2018/02,PRINCIPAL,11
2018/02,PRU,98
2018/02,PRUGP,11
2018/02,PSERS,16
2018/02,QIC,28
2018/02,QUALCOMM,5
2018/02,RAYTHEON,38
2018/02,RED,8
2018/02,REGIONS,16
2018/02,RENRE,19
2018/02,RGA,33
2018/02,RVSI,92
2018/02,SCHRODERS,106
2018/02,SCHWAB,7
2018/02,SEI,78
2018/02,SELECTIVE,9
2018/02,SENTINEL,10
2018/02,SGCP,1
2018/02,SLOAN,2
2018/02,SMAM,2
2018/02,STANDISH,17
2018/02,SUNLIFE,15
2018/02,SUNSUPER,19
2018/02,SURAAM,13
2018/02,SWISSRE,39
2018/02,TDBANK,8
2018/02,TEA,8
2018/02,TFL,1
2018/02,TOKMAR,38
2018/02,TWG,5
2018/02,UAWRMBT,27
2018/02,UBSWM,1
2018/02,UCREGENTS,26
2018/02,UNIONBANK,6
2018/02,UP1,11
2018/02,VALIDUS,8
2018/02,VANGUARD,59
2018/02,VIMCO,14
2018/02,VRS,4
2018/02,WACHOVIA,28
2018/02,WATFORD,3
2018/02,WBLAIR,2
