taskId,CreatedDate,clientRegion,AgeDays,taskTouchCount
100167112701,2018-01-10,Other,9,9
100178402272,2018-03-07,APAC,1,5
100180748150,2018-03-18,Other,0,3
100183427650,2018-03-30,Other,0,3
100187033341,2018-04-22,Other,0,3
100192595221,2018-05-19,Other,2,3
100193387478,2018-05-24,Other,0,3
100195594811,2018-06-01,Other,0,3
100197576659,2018-06-09,Other,2,4
100203156638,2018-07-02,Other,0,3
100204590355,2018-07-06,Other,0,7
100206165153,2018-07-15,Other,0,3
100209612592,2018-08-01,Other,0,3
100210370334,2018-08-05,Other,0,3
100210576918,2018-08-07,Other,0,3
100212631965,2018-08-16,Other,0,14
100213434399,2018-08-21,Other,0,3
100213709224,2018-08-22,Other,0,5
100214619039,2018-08-27,AMER,2,13
100165402463,2018-01-02,Other,1,7
100166981019,2018-01-09,AMER,0,7
100173037695,2018-02-12,Other,0,3
100177392997,2018-03-05,Other,0,3
100182229409,2018-03-24,Other,1,3
100183224173,2018-03-29,Other,0,3
100186603124,2018-04-19,Other,0,3
100188987085,2018-05-02,Other,0,3
100189564805,2018-05-04,Other,0,3
100192601032,2018-05-19,Other,1,3
100195995815,2018-06-04,Other,0,3
100200509206,2018-06-21,Other,0,3
100204153627,2018-07-05,Other,0,3
100205568805,2018-07-12,Other,0,5
100206411420,2018-07-17,Other,0,3
100207810980,2018-07-24,Other,0,4
100210233848,2018-08-03,APAC,2,7
100212442719,2018-08-15,Other,0,3
100214060473,2018-08-23,Other,0,3
100165562803,2018-01-02,Other,0,16
100166464217,2018-01-05,AMER,12,7
100169981295,2018-01-26,Other,3,6
100175766374,2018-02-25,Other,1,3
100176228213,2018-02-27,Other,0,4
100179267265,2018-03-10,Other,1,3
100185210300,2018-04-11,AMER,0,5
100185844531,2018-04-16,Other,7,17
100189121976,2018-05-02,Other,0,3
100190106117,2018-05-08,EMEA,0,4
100193391192,2018-05-24,Other,0,3
100196079699,2018-06-04,EMEA,0,4
100199493811,2018-06-18,Other,0,3
100204708007,2018-07-07,Other,1,3
100204861204,2018-07-09,Other,0,4
100206596619,2018-07-17,AMER,14,13
100207769106,2018-07-24,Other,0,3
100208183248,2018-07-25,AMER,7,16
100208393470,2018-07-26,Other,0,4
100212396977,2018-08-15,AMER,0,4
100213018399,2018-08-17,Other,2,3
100213203406,2018-08-20,Other,0,3
100214729476,2018-08-28,Other,0,3
100170683873,2018-01-30,AMER,13,20
100174408713,2018-02-16,Other,0,3
100177346854,2018-03-03,Other,2,3
100186867477,2018-04-20,Other,0,3
100189786874,2018-05-06,Other,0,3
100193811685,2018-05-25,Other,2,5
100203701971,2018-07-03,Other,0,4
100206162361,2018-07-14,Other,1,3
100210190369,2018-08-03,APAC,0,3
100213435794,2018-08-21,Other,0,3
100213436044,2018-08-21,Other,0,3
100213787634,2018-08-22,Other,0,4
100215642695,2018-08-30,Other,0,4
100167770635,2018-01-13,Other,2,3
100170528679,2018-01-30,EMEA,37,13
100174343215,2018-02-16,EMEA,0,4
100175865159,2018-02-26,APAC,3,14
100178222841,2018-03-06,AMER,204,12
100185745363,2018-04-15,Other,1,3
100186087160,2018-04-17,Other,0,3
100188190737,2018-04-27,AMER,0,11
100192392659,2018-05-18,Other,0,3
100194709025,2018-05-30,Other,0,5
100196715111,2018-06-06,EMEA,0,8
100203951310,2018-07-04,Other,0,4
100204715821,2018-07-08,Other,0,3
100205341644,2018-07-11,Other,0,3
100206162262,2018-07-14,Other,1,3
100207926759,2018-07-24,Other,0,4
100211925527,2018-08-13,Other,0,4
100213015438,2018-08-17,Other,2,3
100213436060,2018-08-21,Other,0,3
100214509626,2018-08-25,Other,1,3
100215327982,2018-08-29,Other,0,3
100166340235,2018-01-05,EMEA,0,6
100170933206,2018-01-31,AMER,0,8
100171917541,2018-02-06,APAC,16,16
100173407331,2018-02-13,APAC,6,9
100175541025,2018-02-23,Other,0,3
100180892137,2018-03-19,APAC,0,9
100183410392,2018-03-30,Other,0,3
100184325137,2018-04-05,APAC,1,28
100187878204,2018-04-26,APAC,81,22
100188768686,2018-05-01,Other,8,7
100191320919,2018-05-14,AMER,2,19
100194613738,2018-05-30,EMEA,0,8
100195035103,2018-05-31,EMEA,0,4
100200148673,2018-06-20,Other,0,3
100202405914,2018-06-28,Other,0,3
100203156731,2018-07-02,Other,0,3
100205752476,2018-07-12,Other,1,6
100209143748,2018-07-31,Other,0,3
100212912000,2018-08-17,APAC,0,3
100213017981,2018-08-17,Other,2,3
100170165605,2018-01-27,Other,1,3
100177890482,2018-03-05,Other,0,7
100179756972,2018-03-13,Other,0,3
100182910417,2018-03-28,Other,0,3
100183892209,2018-04-03,Other,0,4
100184093607,2018-04-04,AMER,0,3
100185121193,2018-04-11,Other,0,3
100186617704,2018-04-19,EMEA,25,21
100187999397,2018-04-27,Other,0,5
100190922002,2018-05-11,Other,0,3
100191180035,2018-05-13,Other,1,3
100192088153,2018-05-17,Other,0,3
100194323857,2018-05-29,EMEA,0,9
100196419860,2018-06-05,Other,0,7
100200145054,2018-06-20,Other,0,3
100203156688,2018-07-02,Other,0,3
100205042978,2018-07-10,APAC,0,6
100208904214,2018-07-30,EMEA,0,10
100209897148,2018-08-02,Other,0,9
100213436028,2018-08-21,Other,0,3
100213945896,2018-08-23,Other,0,3
100214917390,2018-08-28,Other,0,3
100169570965,2018-01-24,AMER,0,7
100171256201,2018-02-01,AMER,0,8
100177393014,2018-03-05,Other,0,3
100186661278,2018-04-19,EMEA,5,28
100187545354,2018-04-25,Other,0,3
100187730578,2018-04-26,APAC,0,14
100188789781,2018-05-01,AMER,0,4
100189781778,2018-05-05,Other,1,3
100190499868,2018-05-09,AMER,0,9
100195204256,2018-05-31,Other,0,3
100202144169,2018-06-27,EMEA,43,12
100204853556,2018-07-09,Other,0,3
100205341655,2018-07-11,Other,0,3
100206162351,2018-07-14,Other,1,3
100211544277,2018-08-10,Other,13,10
100211712163,2018-08-11,Other,1,3
100212949225,2018-08-17,AMER,0,16
100214060453,2018-08-23,Other,0,3
100170949772,2018-02-01,APAC,35,6
100175580710,2018-02-23,EMEA,0,10
100177393024,2018-03-05,Other,0,3
100182105205,2018-03-23,Other,0,3
100182594001,2018-03-27,Other,0,3
100184743979,2018-04-09,APAC,0,3
100185593197,2018-04-13,Other,0,3
100188302515,2018-04-28,Other,2,3
100188883949,2018-05-01,Other,0,3
100188981342,2018-05-02,Other,0,3
100189326700,2018-05-03,Other,0,3
100189790659,2018-05-07,Other,0,3
100192601163,2018-05-19,Other,1,3
100195502108,2018-06-01,APAC,3,13
100199380353,2018-06-16,Other,1,3
100203830134,2018-07-04,Other,0,3
100205798741,2018-07-12,Other,0,4
100206790084,2018-07-19,EMEA,0,1
100209227773,2018-07-31,AMER,0,5
100212564960,2018-08-16,Other,0,3
100213374956,2018-08-21,Other,0,3
100213436131,2018-08-21,Other,0,3
100166190966,2018-01-04,EMEA,0,3
100169199356,2018-01-22,AMER,8,11
100173521343,2018-02-13,EMEA,6,15
100175385531,2018-02-22,APAC,0,6
100180745701,2018-03-17,Other,1,4
100182958702,2018-03-28,Other,0,3
100184992465,2018-04-10,Other,0,4
100187819350,2018-04-26,Other,0,3
100188791864,2018-05-01,APAC,0,4
100189661173,2018-05-04,AMER,0,6
100191494896,2018-05-15,Other,0,3
100192057591,2018-05-17,Other,0,3
100192603997,2018-05-20,Other,0,3
100195903328,2018-06-02,Other,2,3
100199881571,2018-06-19,Other,0,4
100204844451,2018-07-09,Other,0,3
100207903970,2018-07-24,Other,0,4
100213839233,2018-08-22,AMER,5,14
100169495227,2018-01-24,Other,0,3
100173811101,2018-02-14,Other,0,7
100174130461,2018-02-15,Other,10,12
100179430818,2018-03-12,EMEA,0,7
100183803238,2018-04-03,Other,0,3
100185545890,2018-04-13,Other,0,3
100187608914,2018-04-25,Other,0,3
100192601174,2018-05-19,Other,1,3
100193287675,2018-05-23,AMER,0,27
100193959176,2018-05-26,Other,1,3
100195120537,2018-05-31,Other,14,21
100195995809,2018-06-04,Other,0,3
100198648063,2018-06-14,Other,0,3
100199386187,2018-06-17,Other,0,3
100201345235,2018-06-24,Other,0,3
100208282377,2018-07-26,Other,0,3
100210467693,2018-08-06,Other,0,3
100211052773,2018-08-08,Other,0,4
