word,frequency
Package,5869
GP,5107
Green,4133
BLK,3283
New,3149
Missing,3064
file,3021
Released,2734
Report,2706
nite_jobs,2518
Request,2266
Portfolio,2241
files,1975
Benchmark,1926
Release:,1765
Notification,1649
Aladdin,1639
Data,1575
High,1540
Returns,1534
File,1492
Daily,1375
report,1374
FAILURE,1327
Index,1296
Low,1285
Update,1279
FileChecker,1157
Reports,1153
Risk,1136
Please,1075
read***,1059
package,1045
Analytics,1033
Fund,1013
Automatic,984
reply:,982
Delay,960
SUCCESS,960
delivery,947
Files,938
BRS,914
LLC,910
Clearwater,906
date,887
"Analytics,",867
successful,864
missing,848
BLK:,843
data,840
Completed,835
Account,813
request,773
issue,771
errors),748
"touched,",748
May,742
Value,733
URGENT,729
benchmark,726
file:,723
Market,721
Setup,713
Exceptions,704
TCostConverter,699
Email,693
TAR,691
Blackrock,681
Group,664
reports,657
update,651
Attribution,636
new,608
Month,605
Released:,604
Price,598
Change,596
Port,595
portfolio,592
received,580
Portfolios,577
NAV,554
available,552
parsing,545
StageHoldingsLoader,544
Issue,526
US,526
change,508
EMEA,501
Monthly,501
updated,500
Incorrect,490
URGENT:,490
Reconciliation,485
PRISM,484
Errors,459
Securities,449
Items,443
Urgent,438
Performance,434
risk,432
Reporting,426
Mar,419
Jul,418
Operations,418
Aug,416
Apr,412
Cash,412
Client,412
End,405
Other,403
Jun,401
BEN,392
Re:,388
Model,381
Priority,379
Unmapped,377
Income,376
Jan,375
VaR,375
link,372
Security,371
portfolios,370
Position,366
group,364
Link,360
Review,359
Medium,356
June,355
MV,355
price,351
Liability,350
Read**,349
Equity,346
Add,344
March,340
Prism,340
Feb,338
Global,334
Duration,333
Request:,333
Pricing,329
fund,327
Funds,323
Priority:,317
Portgroup,314
Changes,313
Fixed,306
end,306
Holdings,304
Release,304
IDG:,294
Rerun,291
index,291
BlackRock,289
INCTOP-,286
released,285
PMS,284
July,280
April,279
IDG,278
Return,275
Mexico,269
attached,268
BGF,266
Required,261
Action,260
Generated,258
Refresh,257
Yield,257
setup,256
exposure,254
IMU,253
please,253
BLL,252
Terms,252
add,252
warning:,252
Compliance,251
iShares,251
Captured,250
WSSPROD,250
blk,250
run,250
Issues,247
Liquidity,246
ERB,245
The,245
analytics,245
Benchmarks,244
Japan,242
rerun,242
Monthend,241
Accounts,239
funds,236
CW,235
Set,235
FX,234
Form,228
Date,224
No,224
BD,223
II,223
Updates,223
Prices,219
bps,218
BIC,217
Question,217
REQUEST,216
Up,214
CheckAnalyticsFile:,212
Ref.,212
month,211
FI,210
Boeing,209
Checks,208
QC,208
order,208
Bank,204
Nr.,202
Run,202
changes,202
December,201
Credit,200
Urgent:,200
Final,199
Termination,199
Analysis,196
APAC,195
Exposure,194
NOT,194
Not,194
SEI,194
position,193
Bond,192
Forward,192
Impact,192
January,192
attribution,192
returns,192
Breakdown,191
Positions,191
Hierarchy,189
Recs,188
Delayed,187
Highlights,187
set,187
performance,185
PnL,183
Summary,182
Ticker,182
re-run,181
Error,179
Remove,179
cash,179
Query,178
UK,178
port,178
Valuation,177
benchmarks,176
Aegon,175
return,175
Stale,174
Analytical,173
Reconciliations,172
BM,171
RVSI,171
Spreads,171
DAWM,169
February,169
securities,169
value,169
Aquila,167
prices,167
security,167
Barclays,166
vs,166
Asset,165
Heads,165
Sector,165
yet,165
CUSIP,164
Hybrid,160
feeds,160
Discount,159
incorrect,159
Level,158
Investment,157
Load,157
Book,156
For,156
refresh,156
release,156
TRS,155
late,154
General,153
Schedule,153
breakdown,153
BFM,152
Finance,151
links,151
page,151
Analytic,150
NYLIM,150
Adding,147
Test,147
Custom,145
Gold,143
account,143
BOEING,141
Issue:,141
MSCI,141
Page,141
Scorecard,141
M&G,140
Re-run,139
BHF,138
FORDOM,138
load_port_hist,138
Total,137
required,137
accounts,136
confirm,136
complete,135
Sensitivities,134
MSR-RET,132
NYSC-DLY,132
GPAS,131
Weekly,131
EVI,130
HBKAP4,130
Management,130
Subdelegated,130
portgroup,130
FTP,129
Loan,129
Transportation,129
Mandate,128
var,128
Cusip,127
Tree,127
Indices,126
Americas,125
NEWYORKSTATE,125
Day,124
MBSD,124
issues,124
Job,123
model,123
today,123
PRU,122
Swap,122
UCEQ-RET,121
Emerging,120
touched),120
FAILED,119
PortGroup,119
cusip,119
duration,119
needed,119
BRS:,118
Groups,118
error,118
holdings,117
working,117
Archive,116
Insurance,116
need,116
Links,115
Plan,115
Solutions,115
Name,114
Beta,113
Treasury,113
Confirmation,112
Informa,112
Only,112
Hedge,111
LDI,111
MBA,111
Production,111
Stress,111
delay,111
delivered!,111
ticker,111
Historical,110
Multiple,110
Verizon,110
Currency,109
Leverage,109
Manager,109
UCITS,109
EINX-UKCO,108
Pension,108
RELEASED,108
Recall:,108
BEN:,107
positions,107
Team,106
